artistName	trackName	y	danceability	energy	key	loudness	mode	speechiness	acousticness	instrumentalness	liveness	valence	tempo	type	id	uri	track_href	analysis_url	duration_ms	time_signature	year	popularity	explicit
Anita Baker	Sweet Love	0	0.504	0.728	10	-5.699	0	0.0234	0.36	0.0	0.159	0.683	89.255	audio_features	3Z6DV0jsGqCs4whsfda7lX	spotify:track:3Z6DV0jsGqCs4whsfda7lX	https://api.spotify.com/v1/tracks/3Z6DV0jsGqCs4whsfda7lX	https://api.spotify.com/v1/audio-analysis/3Z6DV0jsGqCs4whsfda7lX	266201	4	2017	57	0
Anita Wilson	It’s Done	0	0.496	0.931	8	-4.093	1	0.111	0.261	0.0	0.772	0.343	117.934	audio_features	4qbFudhP4tUS8FBVc7q02M	spotify:track:4qbFudhP4tUS8FBVc7q02M	https://api.spotify.com/v1/tracks/4qbFudhP4tUS8FBVc7q02M	https://api.spotify.com/v1/audio-analysis/4qbFudhP4tUS8FBVc7q02M	299360	4	2018	24	0
Anita Wilson	More Than Anything (Radio Edit)	0	0.334	0.704	11	-5.991	1	0.0857	0.151	0.0	0.109	0.2	83.999	audio_features	0mVB0IVgOK7P1G77ZHTMc5	spotify:track:0mVB0IVgOK7P1G77ZHTMc5	https://api.spotify.com/v1/tracks/0mVB0IVgOK7P1G77ZHTMc5	https://api.spotify.com/v1/audio-analysis/0mVB0IVgOK7P1G77ZHTMc5	260120	4	2017	45	0
Anthony Hamilton	Best of Me	0	0.742	0.728	10	-6.626	0	0.0315	0.00962	3.73e-05	0.134	0.697	96.01	audio_features	1JkhKUXAoNivi87ipmV3rp	spotify:track:1JkhKUXAoNivi87ipmV3rp	https://api.spotify.com/v1/tracks/1JkhKUXAoNivi87ipmV3rp	https://api.spotify.com/v1/audio-analysis/1JkhKUXAoNivi87ipmV3rp	226373	4	2011	60	0
Anthony Hamilton	Better Days	0	0.735	0.447	2	-7.898	1	0.0547	0.262	0.0	0.129	0.437	75.998	audio_features	2ykppvewg6Xoa9jMPSqRWd	spotify:track:2ykppvewg6Xoa9jMPSqRWd	https://api.spotify.com/v1/tracks/2ykppvewg6Xoa9jMPSqRWd	https://api.spotify.com/v1/audio-analysis/2ykppvewg6Xoa9jMPSqRWd	182173	1	2003	36	0
Anthony Hamilton	Chyna Black	0	0.56	0.524	2	-6.422	1	0.0438	0.167	0.0	0.318	0.236	119.936	audio_features	2qsnGbFpF3W7podeD1YOuM	spotify:track:2qsnGbFpF3W7podeD1YOuM	https://api.spotify.com/v1/tracks/2qsnGbFpF3W7podeD1YOuM	https://api.spotify.com/v1/audio-analysis/2qsnGbFpF3W7podeD1YOuM	239973	4	2003	29	0
Anthony Hamilton	Comin' from Where I'm From - Radio Mix	0	0.572	0.745	6	-6.418	0	0.367	0.184	0.0	0.154	0.593	160.037	audio_features	6UeROtzgj12WLgZx3033G6	spotify:track:6UeROtzgj12WLgZx3033G6	https://api.spotify.com/v1/tracks/6UeROtzgj12WLgZx3033G6	https://api.spotify.com/v1/audio-analysis/6UeROtzgj12WLgZx3033G6	240147	4	2003	52	0
Anthony Hamilton	Float	0	0.615	0.417	6	-7.57	1	0.0368	0.135	0.0	0.365	0.394	112.961	audio_features	53w2vsCVLYmgh15RhIwWsw	spotify:track:53w2vsCVLYmgh15RhIwWsw	https://api.spotify.com/v1/tracks/53w2vsCVLYmgh15RhIwWsw	https://api.spotify.com/v1/audio-analysis/53w2vsCVLYmgh15RhIwWsw	341613	3	2003	40	0
Anthony Hamilton	I Tried	0	0.661	0.51	8	-6.233	1	0.0578	0.1	0.0	0.1	0.461	140.879	audio_features	7sDHATTxfsfqMsLxYMZhTo	spotify:track:7sDHATTxfsfqMsLxYMZhTo	https://api.spotify.com/v1/tracks/7sDHATTxfsfqMsLxYMZhTo	https://api.spotify.com/v1/audio-analysis/7sDHATTxfsfqMsLxYMZhTo	302187	3	2003	36	0
Anthony Hamilton	I'll Wait (To Fall In Love)	0	0.732	0.583	0	-5.513	1	0.0526	0.208	0.0	0.0938	0.493	134.217	audio_features	2oMSXWFg1YuwFmJ4vjK57Q	spotify:track:2oMSXWFg1YuwFmJ4vjK57Q	https://api.spotify.com/v1/tracks/2oMSXWFg1YuwFmJ4vjK57Q	https://api.spotify.com/v1/audio-analysis/2oMSXWFg1YuwFmJ4vjK57Q	255253	4	2011	37	0
